number,language name in English,alert-translation
1,afrikaans,middagete 
2,albanian,ora e drekës 
3,amharic,ምሳ ሠዓት 
4,arabic,موعد الغذاء 
5,armenian,լանչի ժամ 
6,azerbaijani,nahar vaxtı 
7,basque,bazkalordua 
8,belarusian,час абеду 
9,bengali,লাঞ্চের সময় 
10,bosnian,vrijeme za ručak 
11,bulgarian,време за обяд 
12,catalan,hora de dinar 
13,cebuano,paniudto 
14,chichewa,nthawi yankhomaliro 
15,chinese (simplified),午餐时间 
16,chinese (traditional),午餐時間 
17,corsican,ora di pranzu 
18,croatian,vrijeme za ručak 
19,czech,čas oběda 
20,danish,frokost tid 
21,dutch,lunchtijd 
22,english,lunchtime 
23,esperanto,tagmanĝa horo 
24,estonian,Lõuna aeg 
25,filipino,tanghalian 
26,finnish,lounasaika 
27,french,l'heure du déjeuner 
28,frisian,itenstiid 
29,galician,hora de xantar 
30,georgian,ლანჩის დრო 
31,german,Mittagszeit 
32,greek,ώρα για μεσημεριανό 
33,gujarati,બપોરનો જમવાનો સમય 
34,haitian creole,midi 
35,hausa,lokacin cin abincin rana 
36,hawaiian,ʻaina awakea 
37,hebrew,זמן ארוחת צהרים 
38,hindi,लंच टाइम 
39,hmong,noj su thaum tav su 
40,hungarian,ebédidő 
41,icelandic,Hádegismatur 
42,igbo,oge nri ehihie 
43,indonesian,waktu makan siang 
44,irish,am lóin 
45,italian,ora di pranzo 
46,japanese,ランチタイム 
47,javanese,wayah awan 
48,kannada,ಊಟದ ಸಮಯ 
49,kazakh,түскі тамақ уақыты 
50,khmer,អាហារ​ថ្ងៃត្រង់ 
51,korean,점심 시간 
52,kurdish (kurmanji),dema nîvro 
53,kyrgyz,түшкү убакыт 
54,lao,ຕອນທ່ຽງ 
55,latin,prandium tempus 
56,latvian,pusdienlaiks 
57,lithuanian,pietų metas 
58,luxembourgish,Mëttesstonn 
59,macedonian,време за ручек 
60,malagasy,ora fisakafoana antoandro 
61,malay,waktu makan tengahari 
62,malayalam,ഉച്ചഭക്ഷണ സമയം 
63,maltese,Ħin l-ikel ta 'nofsinhar 
64,maori,tina tina 
65,marathi,जेवणाची वेळ 
66,mongolian,үдийн цайны цаг 
67,myanmar (burmese),နေ့လည်စာစားချိန် 
68,nepali,खाजा समय 
69,norwegian,lunsjtid 
70,odia,ମଧ୍ୟାହ୍ନ ଭୋଜନ ସମୟ 
71,pashto,د غرمې ډوډۍ 
72,persian,وقت ناهار 
73,polish,pora obiadu 
74,portuguese,hora do almoço 
75,punjabi,ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ 
76,romanian,ora prânzului 
77,russian,Обед 
78,samoan,taimi o le aoauli 
79,scots gaelic,àm lòin 
80,serbian,време ручка 
81,sesotho,nako ea tinare 
82,shona,nguva yekudya kwemasikati 
83,sindhi,مانجهاندي جو وقت 
84,sinhala,දිවා ආහාර වේලාව 
85,slovak,obed 
86,slovenian,čas za kosilo 
87,somali,waqtiga qadada 
88,spanish,hora de comer 
89,sundanese,Waktos na tuang siang 
90,swahili,wakati wa chakula cha mchana 
91,swedish,lunchdags 
92,tajik,хӯроки нисфирӯзӣ 
93,tamil,மதிய உணவு நேரம் 
94,telugu,భోజన సమయం 
95,thai,เวลาอาหารกลางวัน 
96,turkish,öğle yemeği vakti 
97,ukrainian,обідній час 
98,urdu,دوپہر کے کھانے کا وقت 
99,uyghur,چۈشلۈك تاماق ۋاقتى 
100,uzbek,tushlik vaqti 
101,vietnamese,giờ ăn trưa 
102,welsh,amser Cinio 
103,xhosa,ixesha lesidlo sasemini 
104,yiddish,מיטאג צייט 
105,yoruba,ọsan 
106,zulu,isikhathi sokudla kwasemini 
